,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
TSPAN6,1191,1474,1857,1872,4184,1692,1286,4236,1708,1612,2989,3543
TNMD,5,41,67,1778,1231,338,395,834,1252,724,106,611
SCYL3,671,822,951,960,878,909,723,988,733,791,975,724
C1orf112,61,130,136,172,370,171,123,254,184,198,390,689
FGR,0,1,0,0,1,2,0,0,1,0,0,0
FUCA2,1113,1228,1446,1703,1482,1337,1085,1766,1019,1064,2051,1530
GCLC,1148,1376,1441,1446,1395,1492,1181,1841,1121,1321,1812,1570
STPG1,1065,1240,1083,1440,878,1064,1176,1097,633,741,1273,718
NIPAL3,4329,4906,4346,5622,3164,3034,4553,6043,2472,2750,7598,3635
ENPP4,987,1030,925,926,924,956,938,1332,711,813,1308,981
SEMA3F,893,1185,1233,1784,1815,950,1059,2670,1088,1015,612,751
ANKIB1,3988,5069,5759,5772,5910,7175,4122,6490,4922,5447,5598,4968
RAD52,365.02,440.92,508.43,515.82,805.91,780.69,364.91,666.38,387.55,428.11,551.22,472.51
CD99,465,952,994,4520,7060,1677,1873,4840,3718,3351,6159,7277
HS3ST1,525,911,919,992,1293,1017,671,1277,706,739,950,908
WNT16,1,2,2,26,41,24,6,9,32,12,65,281
HECW1,3629,4779,4869,4843,4281,4611,4012,6518,3559,4273,3687,3074
LASP1,9431,12157,14468,19942,19611,15989.99,10732,19312,15212,16452,21412,24710
TMEM176A,1,1,2,2,1,0,2,1,3,1,19,12
M6PR,3179,3903,4087,4606,5377,3967,3493,5815,3136,3620,5009,4921
KLHL13,2350.49,3471,3652,3012.28,3566.35,4023,2351,3838.31,2782.32,3705,1787,1838
ICA1,947,1130,1326,1016,653,1398,916,591,573,862,930.2,544
TFPI,57,141,123,1149,460,363,308,151,885,991,2303,575
NDUFAF7,491,651,800,712,1029,1063,508,908,659,676,884,839
RBM5,6075.67,7663.96,9735.39,8355.32,12083.76,10925.43,6472.48,10800.11,7059.37,7950.48,9878.36,9468.87
MTMR7,3445,4042,3425,3528,2343,3747,3513,3233,2680,3180,2372,1686
ARF5,4926.86,6025.53,6591.77,5201.01,5773.27,6706.93,4454.51,5635.53,4100.53,4963.58,4558.03,4719.56
SARM1,10438.04,12183,12044,16324.41,7534.47,10334,10502.79,10424.35,8848,8976.8,9136.89,5891.29
POLDIP2,3479,4484,5320,5057,4903,4978,3478,5329,3723,4058,5066,4751
CD38,1,2,5,5,10,4,3,21,4,8,56,23
FKBP4,5967,8147,9756,8810,7324,9614,5777,7716,6624,8284.99,7974,6957
RBM6,4521.33,5817.04,6058.61,5268.68,7066.24,7642.57,4699.52,5970.89,4570.63,5165.52,5403.64,4883.13
CAMKK1,892,1016,1582,1360,739,1702,905,766,825,893,952,648
RECQL,565,716,810.38,1434,1802,920,829,1498,1198,1203,2316,3137
VPS50,2695,3191,3361,3453,2342,3178,2644,2930,2368,2528,2667,1901
HSPB6,6,9,11,4,8,13,8,9,4,14,24,35
NDUFAB1,1790,2197,2730,2617,2118,2268,1680,2438,1868,1961,1814,1570
PDK4,3,4,11,9,197,27,16,245,22,25,131,397
SLC22A16,0,0,0,0,0,0,0,0,0,0,5,2
ZMYND10,27,61,74,64,216,71,50,133,66,50,60,71
ARX,2,4,3,10,48,11,10,33,3,2,9,28
CDC27,4680,5865.99,6252.95,6687,6545.95,7481.99,5214,7565.94,5817.96,6423.88,6925,6407.96
HCCS,1120,1264,1314,1309,1414,1222,1108,1640,957,1064,1530,1687
DVL2,965,1288,1548,1636,2868,1819,1056,2405,1406,1532,2122,2242
PRSS22,3,12,13,12,0,3,3,6,4,0,4,1
SKAP2,1220,1409,1651,1571,1290,1725,1250,1543,1355,1339,1918,2653
SLC25A5,4657,5789,7012.99,7188.99,7202,6529,4977,7088.99,5010,5383,5348.99,5259
MCUB,10,33,55,54,289,45,34,247,82,74,157,275
DHX33,1215,1423,1742.35,1759,2108,1831,1367,2180,1441,1547,2007,2223
LIG3,2277,2817,2946,3108,3855,3065,2421,3555,2303,2568.1,3466,2913
RPAP3,2258,2638,2977,2349,2934,3170,2301,3054,2199,2587,3246,3016
ACSM3,18,68,84,67,150,31,57,208,52,34,73,126
CIAPIN1,3874.99,4569.99,5482.95,5381.94,3736.96,4160.96,3472,4339.95,3117.98,3482.99,3345,2782.98
SPPL2B,1282,1496,2095,2168,3045,2592,1351,2943,1572,1744,2503,2731
COPZ2,21,38,44,290,333,76,87,288,183,216,175,165
PRKAR2B,11955,14288,13344,9937,8988,15304,10495,11835,9189,11419,8481,7056
MSL3,1880,2069,2495,2245,1958,2662,1810,1906,1775,1874,2006.85,1874
TSPOAP1,2291,3017,3806,3214,2499,4669,2327,2283,2577,2840,1761,1287
MPO,1,3,1,0,1,2,0,0,1,0,1,4
PON1,0,2,1,3,0,0,1,1,2,2,2,0
GCFC2,173,241,205,247,421,286,203,531,226,222,471,595
RHBDD2,6094,7502,9156,7417,7764,8815,5658,7961,4946,6244,7127,5822
SOX8,481,526,613,660,617,832,500,666,481,597,370,448
IBTK,1919,2450,3361,3182,5281,3886,2275,5687,2927,3236,3329,3789
ZNF195,3843,4659,4752,4040,3891,4693,3789,4288.98,3640,3962,3953.98,3588
FBXL3,1537,1815,1716,2041,2267,2110,1772,2871,1743,1867,2572,2618
PDK2,1418,1727,1744,1934,2236,1678,1433,2416,1184,1324,2396,2272
ITGA3,2904,3948,5186.02,4993,3501,4984,2975,5758,3252,3793,8137,2939
ITGA2B,45,72,96,96,134,130,74,97,57,63,69,55
ASB4,0,11,4,14,37,39,14,10,3,4,5,11
GDE1,5238,6341,7184,7020,6186,6809,5144,7335,4857,5686,6744,6048
OSBPL7,464,634,711,783,787,878,522,895,479,590,853,684
TMEM98,1064.99,1416.98,1636,1879.98,3579.97,1403.98,1129,3235.99,1776,1601,2604,3382.99
YBX2,372,533,846,621,787,1157,408,642.95,627,770,243,521
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
AP2B1,58933.78,68894.77,79537.75,74681.75,43708.86,77671.69,55297.83,61537.81,51264.92,56831.88,53638.87,41968.48
TAC1,1244,1079,1441,1525,692,1584,874,817,1016,1040,1187,1069
ZNF263,2055.86,2542,2903,2692,2215,2999.97,2176,2330,1788,1955,2545,2240.93
CX3CL1,227,326,736,446,1381,962,224,1976,477,629,869,1268
SPATA20,1494,1830,2287,2256.19,2400.45,2389.26,1483,2809.11,1524,1718,2484,1710
CACNA1G,304,473,676,707,2287,746.07,531,1615.21,788,872,768,2420
DLX6,0,0,1,0,9,3,0,5,1,1,17,64
RALA,7105.98,8271.99,7873.91,9230.93,5632.98,8582.96,7912,7803.99,6168.99,6385.98,6844,5295
BAIAP2L1,82,147,177,959,323,145,173,405,446,345,345,423
KDM7A,1758,2078,2246,1760,2057,3097,1927,1922,2077,2221,2979,2772
ETV1,15556,23710,15816,18866,9462,12022,17931,24709,16189,17041,10084,7229
AGK,2309,2776,3022,2488,2151,2867,2291,2322,1881,2223,2720,2090
TTC22,1,3,1,0,10,1,3,0,1,3,2,2
FARP2,1513,1887,2144,2857,2953,2148,1808,3243,2154,2253,2980,3429
GGCT,624.21,811.85,853.32,884.99,1218.3,893.1,718,1125.49,684.17,742.63,846.84,1178.14
DBF4,463.33,529.4,581.05,637.4,895.28,674.57,504.29,530.78,619.38,654.76,790.66,1634.78
LGALS14,0,1,0,0,0,0,0,0,0,0,0,0
COX10,1158.34,1412.15,1657.92,1440.37,1209.4,1732.44,1228.94,1258.16,904.02,1057.64,1307.05,1146.59
PAF1,2742,3768,3692,3326,4068,3926,2764,3831,2883,3353,3179,3371
VPS41,6090,7303,7826,9008,7141,8090,6350,9745,6063,6483,9639,7100
ELAC2,2232,2701,3152,3399,3219,3399,2178,3310,2559,2824,2949,2936
SCIN,2,57,62,19,9,3,54,7,94,1,20,21
ARSD,3881,4411,4068,4572.99,3622,2865,3502,5667.98,2681,2659,4676,3503
PNPLA4,950,1000,879,786,848,742,896,1170,650,629,846,612
MYH13,0,0,0,2.03,0,3.01,2.01,3,0,1,5,8.04
ADIPOR2,3945,5163,5504,6628,6288,5183,4063,6076,4540,4764,5378,5976
CDKL3,189.8,235.62,210.94,218.92,221.43,260.42,203.78,192.68,142.57,165.2,179.62,152.28
PRSS21,0,0,0,0,0,0,0,0,0,0,0,1
CCDC124,2285,3049,3464,3268,3356,3565,2254,3156,2538,2925,2504,2405
CEACAM21,15,8,23,21,17,24,10,29,15,10,5,8
NOS2,18,30,33,43,20,33,21,31,25,21,23,35
DNAH9,272,322,508,302,651,580,203,506,294,356,152,259
KIAA0100,7429,9254,11543,13542,12514,13176,8325,14784,10134,10910,12856,13017
TRAPPC6A,372,421,414,457,439,254,346,451,302,297,219,274
MATK,238,243,559,389,140,600,215,138,240,355,106,81
CEACAM7,1,1,0,0,0,0,3,0,0,1,0,0
SCN4A,82,39,72,82,12,23,86,21,12,13,159,74
ST7L,1008,1260,1229,1019,1089,1170,935,1152,708,881,1373,1187
TKTL1,1,1,2,6,213,14,5,13,28,27,34,216
RPUSD1,678,820,1142,1145,863,1078,651,791,656,766,998,829
RHBDF1,111,187,212,515,813,280.97,241,895,340,281,641.78,534.99
TSR3,1523,2001,2264,2288,1993,2133,1667,1874,1519,1673,2083,1796
SELE,0,0,0,0,0,0,0,0,0,0,1,0
FMO3,0,1,0,3,3,0,4,4,4,1,2,1
MYLIP,294,399,623,552,1258,916,498,1731,654,773,701,1152
NOX1,0,0,2,2,0,1,0,1,0,0,0,0
E2F2,7,20,29,48,403,42,45,113,117,99,518,1175
PSMB1,3675,4535,5357,4863,4645,4132,3480,4989,3521,3753,4477,4827
SYN1,5459.08,8138.38,9878.43,8814.03,5840.8,13301.41,5685.97,5134.58,6384.74,8231.4,6091.72,3944.34
JARID2,4343,5335,5835,5018,5670,6527,4575,6358,5039,5099,4357,5196
CAMK1G,451,558,657,753,501,798,463,411,409,613,389,225
CDK11A,535.01,723.26,757.02,963.48,1298.9,1204.11,633.87,1277.56,631.01,806.81,1260.02,1420.85
NADK,3070,3815,4457,4470,4324,3810,3059,4701,2884,3132,4581,4072
TFAP2B,1041,796,2555,1085,2067,1851,762,835,2103,1397,1336,2011
DLEC1,7,11,17,18,36,19,13,42,8,15,25,24
CYTH3,2358,3035,3689,4565,4274,4436,2868,3847,3745,3919,5787,5739
CYB561,2048,2442,3433,2715,1676,3679,1971,2072,1684,2020,2424,1339
CELSR3,5712,7096,8935,8991,6197,10618,7002,6599,6339,6819,6307,4650
MGST1,21,44,53,201,776,133,114,402,277,199,277,375
CRY1,1612,1999,2447,2103,3029,2645,1708,2717,1751,1987,2219,3072
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0
ST3GAL1,2259,2433,2955,2372,1386,3763,2413,1450,1962,1930,2318,2247
MAPK8IP2,13976,16717,18096,18042,9296,17046,13309,12009,10348,11908,11227,6774
HEATR5B,3588,4326,5388,5073,3803,5637,3724,4451,3616,4188,4189,3106
SEC62,9579,12284,11780,11431,13182,14414,9948,15492,10399,12041,13207,11687
UBE3C,2948,3845,4420,4904,4690,4578,3226,5570,3886,4169,5046,4465
TENM1,2506,3404,5771,3059,2840,8479,2788,2622,3695,3811,7749,4483
PAX7,28,19,25,47,153,53,34,67,52,101,163,307
MASP2,0,5,3,2,3,1,2,0,1,3,13,5
TRAF3IP3,0,1,0,4,4,3,1,3,1,3,5,2
VTA1,5087,6376,6634,6248,6057,6961,5193,6841,5013,5932,6108,5087
MLXIPL,26,23,70,63,90,137,36,76,31,53,53,42
BAZ1B,8758,10712,10802,11057,11800,11134,9613,11266,8954,9732,12388,14060
RANBP9,4622,5655,5781,5670,5281,6067,4742,6079,4416,5186,4618,5241
ETV7,0,4,5,1,3,1,0,17,0,4,7,7
SPRTN,997,1245,942,1165,1115,784,954,1456,850,815,1305,1259
METTL13,1307,1556,1761,1777,1560,1591,1145,1714,1217,1342,1664,1421
UQCRC1,4729,5980,7271,6735,5921,6440,4273,6215,4961,5349,5030,5000
HHATL,91,79,89,110,23,32,53,37,45,38,5,5
NCAPD2,975.34,1278.63,1510,1956,3999.62,1470,1371,3093,1760.45,1796,5337,12155.76
GIPR,265,273,316,261,330,469,239,380,232,253,161,98
SEMA3G,11,16,10,31,60,38,51,23,75,30,21,33
NISCH,14490,17843,19210,19189,15204.19,20201,14005,17867,12564,14648,16103,12042
STAB1,5,2,6,1,0,4,4,1,1,2,8,6
FUZ,296,390,397,402,621,317,288,637,272,288,375,516
SLC6A13,3,15,21,17,73,12,16,48,16,9,9,44
IDS,26801.15,33367.34,40785.91,35607.16,34083.68,63820.21,27967.98,42982.63,32471.1,37340.79,35160.97,28759.64
CD4,7,18,12,113,174,39,31,71,70,98,86,81
LRRC23,107.18,134.54,199.49,165.71,438.91,159.49,165.86,339.41,108.89,134.28,186.78,191.97
FYN,12682,14658,17359,13243,13205,16440,12803,14127,10663,11770,12291,11843
HIVEP2,7149,8778,6709,6203,4567,5466,6673,7663,4464,4740,9254,6598
FMO1,0,5,5,46,701,24,44,755,51,46,25,207
LYPLA2,4263.76,4969.47,5681.84,5606.96,4052.02,4341.21,3775.42,5349.96,3436.97,3998.92,2917.14,2643.49
CLCN6,7173,8738,10989,11251,6869,12388,7688,6631,7754,8567,7916,4845
MRC2,182,953,1358,7238,15148,2033,1750,22027,5834,5847,11670,12647
NME1-NME2,323.17,416.58,409.02,769.59,366.08,447.44,338,445.51,384.45,419.12,105.42,146.67
SLC6A7,22,15,35,35,5,60,16,6,20,24,9,5
TSPAN9,1582,2313,2850,4452,5855,2973,2649,7895,2903,3116,6516,8298
BTBD7,1764,2424,2318,3328,4047,2898,2331,4525,2457,2500.99,3413,3649
APBA3,264,315,430,408,441.5,393,300,421,311,276,454,363
ABHD5,1041,1340,1678,1483,1390,1795,1070,1632,1296,1394,2353,1809
ANOS1,1030,1548,2848,4206,3269,3790,1664,3042,3924,3665,7789,12259
MBTD1,2332,2794,2662,2201,3452,2513,2534,3330,2137,2496,2635,3377
UTP18,1240,1330,1761.96,1606.97,1745,1507,1161.95,1973.99,1227,1297,1799.95,1811.96
TTC19,5617,6884,6784,6517,4493,6196,5597,5460,4132,4724,5684,4311
LARS2,2093,2455,2394,2826,3012,2306,2126,3612,1981,2066,1988,2010
PLAUR,32,116,142,464,429,120,91,701,353,368,442,624
ANLN,183,244,278,805,1718,521,553,1225,945,673,3144,7444
PPP5C,3697.98,5091,5566,5026.98,5515.94,5223.97,3579.97,5565.95,3703,4406,4955,4954.99
CEP68,3368,3875,3743,3376,2987.87,3342,3249,3460,2503,2823,3948,3709
MAP4K3,2234,2986,2846,2973,3639,3427,2448,3978,2600,3105,3164,3218
ZBTB32,1,1,1,1,3,0,0,0,2,1,1,0
GABRA3,9939,12989,14848,16891,8889,15910,11271,10939,10485,12416,5127,3917
CD22,0,1,3,2,3,0,0,4,2,2,5,3
SEMA3B,184,247,365,503,2276,358,283,2582,401,427,444,1102
MBTPS2,3716,4492.44,4769,4503.41,4260.64,4718,3730,5493.66,3261.22,3804,4743.79,3542.44
PRICKLE3,11,16,45,60,51,23,34,94,36,27,58,74
LTF,5,2,6,2,2,5,6,1,3,3,12,9
NR1H4,0,3,0,0,0,0,0,0,3,0,4,3
ELOVL5,9471,11533,10029,12230,7654,9915,9674,9401,8622,8681,6973,5749
CALCOCO1,2041,2789,2651,3102,4835,2875,2507,5505,2207,2356,4600,4455
UBR7,2480.28,3060.99,2994,2796,3365.67,2946,2561.98,3019.41,2114.07,2524,3369.38,4384
EHD3,1999,2393,2506,3029,2524,2271.16,2031,2886,1885,2188,2827,1678
PSMC4,4292,5602,6331,5809,4984,5751,4366,5161,4168,4558,5907,5031
MAN2B2,1796,2256,2367,3223,2901,2227,2138,3585,2127,2420,3203,2711
SLC7A14,1747,2654,2896,2942,1762,3873,2777,2499,1768,2692,3041,1883
SLC25A39,2351,3002,3604,4308,4253,3589,2476,4946,2821,3008,3485,3460
MVP,96,217.98,292,575,413.76,221.02,187,565,364,391,701.79,444.15
PGM3,1607,1936,2075,3251,3788,2311.99,2120,3870,2546,2628,5078,4295
RWDD2A,893,1060,1113,1167,1096,1080,932,1256,779,902,1122,962
POLR3B,1549,1856,2011,1882,1634,1873,1563,1905,1508,1590,1649,1417
RNF14,3787,4446,5569,4940,3778,5618,3527,4349,3646,4106,5644,3900
DNASE1L1,827,946,1157,1587,1094,1003,900,1587,869,934,1081,682
DDX11,722.6,936.33,1019.11,1133.06,1660.28,1267.35,828.91,1233.42,770.08,867.36,1459.13,1715.52
HEBP1,308,385,503,598,1247,617,433,1029,498,491,847,896
CD6,14,22,20,35,18,20,19,38,20,18,51,19
UFL1,836,1065,1136,1231,2012,1174,1063,2287,1147,1203,1724,1973
POLA2,182.94,242.09,260.02,350.61,603.39,197.62,275.86,391.2,250.51,271.04,538.21,1077.21
ZC3H3,1271,1432,1565,1580,1556,1499,1197,1677,1176,1268,1214,1226
ACP3,1,12,5,16,17,11,16,35,28,1,3,9
SLC30A9,6929,8687,7902,8072,7901,8756,6823,9903,6918,7849,7741,6726
MTMR11,12,22,42,107,229,78,50,205,79,76,255,139
XYLT2,490,524,602,904,1442,604,508,2134,710,810,1209,1059
RGPD5,1041.5,1613.35,2275.5,2278.47,3885.39,3259.98,2233.92,2527.79,2434.42,2441.56,4040.31,2899.66
NUDCD3,10397,12845,14969,14866,8842,14086,10021,9694,9022,10082,11617,7803
ISL1,16932,18521,15654,17729,5176,9960,15887,8686,10052,9722,15615,6714
CHDH,33,47,86,83,183,110,66,141,94,66,79,128
CLCA4,0,0,0,2,0,1,0,0,2,1,1,4
RALBP1,3539,4516,4619.99,5213.99,4591.98,4597.99,3798.98,5780.97,3798.99,4080,5473.99,5330.97
RUFY3,35730.99,42881.99,43916.99,38104.99,25336.99,43615.99,32263.99,31974.99,29814.99,34019.99,28403,18494.99
CNTN1,23858,29227,28557,29663,17686,31944,22336,27748,21670,25383,13862,9821
SLC11A1,1,3,4,3,3,6,2,3,1,0,2,5
ATP1A2,61,276.01,252,551.01,5293.99,563,498,8149.12,625,719.01,2405.02,3944.99
TTC27,597,722,866,920,830,829,660,856,709,718,707,633
VSIG2,2,1,0,2,2,0,0,1,0,0,1,1
CYP24A1,0,2,9,5,22,4,4,8,14,1,8,13
SYT13,40298.88,42527,62440.97,48123.74,19369,69895.92,33576.95,28211.93,34123.95,36638,19706,14585
SNAI2,61,286,254,3031,3942,756,959,2546,3010,2524,2296,3782
HGF,6,7,6,26,36,28,40,1,17,20,96,188
ZRANB1,5392.81,6663.06,7048.9,6175.08,6308.72,7981.79,5469.69,6880.65,5257.35,6084.3,6763.84,6123.74
NCDN,5958,7508,9182,8413,6721,9820,5639,8085,5475,6555,4859,3975
ADGRA2,424,742,666,3470,3334,1088,1608,2239,2688,2016,6284,3855
ZFP64,1594,1949,1938,2013,1800,1904,1661,1794,1509,1622,1653,1498
MNAT1,419,513.96,575.93,633.92,903.9,655,525,1173,556,601,794,1013
PLEKHB1,310,334,214,347,386,228,306,614,169,249,443,295
SERPINB1,186,207,148,234,116,95,167,163,131,118,412,226
SLC7A9,13,12,16,14,15,24,13,15,9,8,26,12
OSBPL5,1454,1875,2206,2439,1910,2405,1563,2055,1730,1904,1917,1714
AQR,3466,3939,4357,4465,4371,4428,3543,4970,3533,3694,4990,4833
FHL1,11553,13599,16285,18510,13159,17813,12219,12828.99,12239,14411,15935,14379
GABRA1,37,37,46,21,6,53,21,11,22,37,74,56
NLRP2,831,1026.96,1070.99,1446,1212,1314.99,874,962.99,1094,1199,1734.99,1374.99
RNH1,2103,2702,3243,3531,2860,2993,2239,3047,2329,2422,3119,2406
NDUFS1,9964.08,11943,12793.6,12956.45,10604.29,12515.94,9816.67,14690.44,9654.5,10535.03,13156.24,10674.22
RB1CC1,10019,11652,11558,11293,9618,11682,10298,12205,8308,9464,12983,10695
ALAS1,2877,3590,4111,3859,3259,4188,2801,3302,2715,3126,3676,3419
AKAP11,9579,11607,11902,12151,10093,14365,10031,12755,10144,11471,13280,9784
SNAPC1,220,290,290,345,608,286,307,544,282.22,308,878,1289
DERA,221,267,305,387,602,245,295,568,326,307,578,712
STRAP,13014.99,16098,18564,16874,14548,17656,13325,15420.99,12753,14219,13915,12972.99
ABCC2,33,26,21,45,404,26,46,61,50,43,29,46
DEF6,45,51,58,46,53,88,45,38,42,37,74,65
PLEKHO1,4290,5262,7122,6037,4626,7367,4175,3849,4542,4674,3684,3215
GCLM,466,556,467,707,670,534,596,859,481,621,791,668
EHD2,146,458,461,3327,1799,819,897,1682,2275,1979,4639,3681
DEPDC1,26,37.97,54,167,796.96,93,178.8,639.95,282.99,254.97,1269.9,4073.8
RRAGD,2819,3116,3479,3330,4160,3433,2935,6365,2419,2637,3627,3755
HSF2,2362,3094.99,3572.99,3655.96,2808,3525.99,2644.99,2889.99,2792,3057,2942,2534
PHF20,4104,4995,5029,5614,3935,5044,4310,4803,3938,4118,4331,3601
HSD17B6,13,31,25,44,30,35,20,25,22,25,42,63
NR1H3,80,99,111,120,180,121,105,157,84,107,99,129
TYMP,40.41,36.64,55.89,49.08,43.35,45.27,36.88,28.95,31.34,31.5,60.49,41.89
NCAPH2,1813,2252,3103,2830,2532,3043,1884,2243,1914,2111,2861,2674
TOMM34,1461,1757,1935,2349,1870,1793,1484,2289,1456,1616,1989,2495
SEC63,8403.05,9917.24,10034.75,10056.05,10390.06,9921.03,9645.61,11021.92,7588.36,8313.77,11771.6,11282.41
KPNA6,5752,7577.07,8801.22,9311.06,9020,9495.99,6446,10773,6705.99,7637.96,10149.1,8582
VIM,19061,28257,32065,78705,143528,35281,31524,142029,72574,51646,75684,107817
RTEL1-TNFRSF6B,199.07,225.09,333.48,379.92,715.09,564.76,234.49,453.31,298.14,329.02,324.25,264.53
KCNG1,72,104,170,372,408,276,163,368,227,207,1426,1051
AGPAT4,6774,8522,8540,8639,6928,9053,6309,7656,6170,6260,6115,4465
SLAMF7,0,2,0,1,0,0,0,0,0,0,1,2
BTN3A1,900,1187.55,1180.02,1318.56,762.18,1095.31,895.17,1070.68,740.82,832.1,936.11,575.53
MIPEP,331,404,486,533,625,477,370,678,368,464,459,426
INSRR,45,37,33,43,80,34,38,19,35,38,58,161
B4GALT7,632,820,1057,1093,1144,987,661,1293,755,760,951,991
TNFRSF1B,60,86,100,195,123,100,105,39,123,198,35,51
BRD9,1875.94,2490.47,2690.04,2783.51,2661.77,2898.8,2165,2639.29,2003.4,2220.09,2473.63,2295.23
SNX1,2495,3234.99,3494,3837,6320,3864,2964,7077,3189,3526,5105,5757
TBPL1,2313,2591,2850,2683,2204,2669,2278,2589,1874,2235,2933,1915
BCLAF1,15006.23,18643.06,17012.2,17105.24,19442.14,19905.63,15412.05,22357.79,15183.33,17422.49,17482.54,16848.09
SLC39A9,6646,7477,9291,7818,7690,7458,6506,9471,5353,6271,12355,9400
IBSP,0,0,0,0,0,2,0,0,0,0,1,1
TFB1M,378.94,434.07,554.59,538.8,472.6,516.57,419.22,402.68,411.65,380.2,437.26,372.6
RABEP1,12745,15557,18454,17997,12893,19309,12984,14892,13215,14902,14757,11412
HMGB3,9787.88,12155.73,12770.93,9445.97,9957.76,11921.96,9406.97,10532.9,8769.97,10054.99,9087.98,9957.95
GRN,2192,2894,3367,4685,6785,2899,2428,8953,2826,3084,7462,8655
ARHGAP31,37,90,118,764,932,256,325,604,638,497,1219,1519
CENPQ,47,68,71,80,293,78,67,191,86,98,244,367
SARS1,22855,25075,27060,23319,15792,21384,24512,14080,12363,13678,27129,20122
RANBP3,3057,3730,4143,3881,4410,3868,3018,4270,2887,3243,3872,3891
ARID4A,2154,2904,3213,2433,3175,3583,2303,2888,2351,2896,3022,3094
ABCF2,2396.93,2851.91,3259.24,3559.3,2781.84,2732.91,2478.66,3088.03,2172.78,2225.21,3751.92,3320.38
UBA6,3127,3967,4355,4200,4342,4699,3262,4942,3867,3991,4668,3785
GAB2,11752,13180,13049,11903,5618,12696,11118,8110,7431,7485,9746,6859
MAP2K3,331,418,537,712,658,540,344,719,527,610,730,896
EFCAB1,3,3,5,3,15,9,1,9,4,3,13,36
TMSB10,69533.57,92275.76,115873.5,96233.5,66826.22,117570.22,65879.65,69713.42,74151.45,80163.27,53369.64,44314.77
RNF19A,2619,3413,3525,3485,4456,3758,2917,5656,2902,3029,3774,4540
PEX3,605.96,731.87,719.88,722.81,790.98,740.73,600.94,1008.77,644.99,716.98,804.98,767.98
GABARAPL2,7600,9193,9997,9304,6662,8746,6943,7883,6126,6765,7936,6150
MYOC,0,0,0,0,0,0,0,0,0,0,0,0
SH3YL1,932,1205,1408,1396,1628,1700,1119,1715,1172,1236,1385,1073
FAM136A,1189,1457,2006,1634,1959,2124,1301,1978,1505,1647,2044,1893
DEPDC1B,95,125,177,139,537,156,136,288,205,193,329,886
DAPK2,96,85,62,105,103,80,103,107,56,52,159,118
NSMAF,790,1014,1157,1197,1412,1304,957,1233,1052,1047,1472,1267
ADSS2,2425,2871.98,3518.99,3104.99,3150,3943.98,2528.99,3388.9,2504,2755,3340.99,3027.99
STAP1,0,0,0,0,0,0,1,0,0,0,0,1
TIMP2,25403,32363,33792,45923,34971,35086.75,29672,46908,28895,30113,40594,47849
TBC1D23,1761,2125,1825,2192,2052,2120,1805,2561,1805,1942,2342,2159
MYOM2,86,141,225,189,352,260,125,244,232,249,257,394
OTC,10,2,10,3,1,6,5,2,8,4,3,1
CYP46A1,833,1151,1366,1074,1069,1743,846,977,854,954,949,790
ZZZ3,3352,4069,4339,4119,4028,4409,3670,4563,3264,3531,4400,3967
SLC18A1,20,47,54,46,70,46,17,48,28,44,53,18
USP2,81,110,91,143,251,75,118,320,88,129,125,232
TUBG2,1531.82,2043.81,2170.14,2273.34,2213.02,2873.26,1523.97,2152.76,1473.49,1824.33,1715.9,1261.81
RPL26L1,1027.59,1361.89,1594.58,1354.22,1359.02,1414.68,1033.62,1514.12,1069.87,1235.1,1135.77,1148.53
FLT4,99,121,128,123,127,146,91,165,75,99,115,105
NSUN2,1984,2473,2718,3030,3712,2988,2213,3355,2374,2484,3884,4192
FBXO42,4441,5222,6242,5864,4615,5577,4776,4771,3812,4086,6249,4386
MRI1,383,411,565,505,656,475,388,635,387,402,656,631
METTL1,137,217,310,342,363,288,196,336,229,238,285,272
HOXC8,3659,4430,3387,2874,3040,2736,2988,3363,2550,2844,2772,1942
AGA,94,149,93,171,311,121,114,304,117,134,345,347
PI4K2B,181,239.06,229,443,561,311,302,486,411,356,594,584
BOD1L1,7305,9237,10339,10545,10016,12409,8976,11224,7796,9355,11973,10910
TLL1,20,47,63,389,213,106,100,135,267,271,1070,543
EDC4,3617.69,4500.72,5226.28,5016.34,4476.03,5324.3,3405.92,4853.42,3613.25,3907.04,4866.93,4437.81
VCAN,2359,4431,6518,14351,20485,8543,7270,14839,14822,10489,18164,27283
CLEC16A,2746,3530,3692,3699,3660,3940,3002,4764,2831,3183,3854,4043
MSR1,4,2,2,1,2,0,1,1,1,1,5,1
MTREX,4390,5202,5897,5264,4984,4952,4261,5448,4180,4696,5406,5333
ZFYVE16,1860,2332,2433,2866,4591,2897,2120,4934,2596,2839,4422,5044
RIPOR1,7765,9256,8767,10475,6528,10296,8723,7512,6723,7430,8242,6294
RAI14,16491,17230,15697,22869,14091,13617,17287,16692,15567,13166,17924,14552
SOX30,0,2,0,1,4,0,0,3,0,2,9,7
PNKP,635,805,1139,1251,1517,1292,730,1388,931,976,1263,1204
PHLPP2,993,1302,1701,1453,2175,1937,1240,2209,1357,1498,2011,1914
SPDL1,601,827,981,1091,1939,1530,743,1551,1066,1258,2065,3133
STAU2,8600.95,10807.1,11611.7,9838.98,8648.82,13655.69,8132.16,9835.33,9230.07,10874.29,7037,6333
